title,component,description,root_cause,inherent_likelihood,inherent_impact,residual_likelihood,residual_impact
Appropriate actions are not implemented to meet professional standards and applicable legal and regulatory requirements for identified deficiencies.,Monitoring & Remediation,"To mitigate this risk associated with non-compliance with professional standards and legal and regulatory requirements, the company has implemented several strategies and initiatives. These include developing and implementing clear procedures and policies to guide personnel in complying with standar",Ref: 8.179999999999996. Objectives: 8k. Responses: MMR-17.,1,1,1,1
"The results of the monitoring and remediation process are not communicated or not communicated in a timely manner to the company's partners, managers, and external parties.",Monitoring & Remediation,"To mitigate the risk associated with ineffective or delayed communication of the results of the monitoring and remediation process, the company has implemented several strategies. These include developing a clear and effective reporting system, setting strict deadlines for submitting relevant inform","Ref: 8.189999999999996. Objectives: 8l, 8m, 8p. Responses: MMR-18.",2,2,2,2
The company does not produce an annual report evaluating the quality management system based on the monitoring activities carried out during that year.,Monitoring & Remediation,"To mitigate the risk associated with not producing an annual quality management system assessment report, the company has implemented a number of measures. These include appointing a dedicated team to compile and analyse relevant data, setting clear deadlines for report preparation, and implementing","Ref: 8.199999999999996. Objectives: 8n, 8o, 8p. Responses: MMR-22.",1,1,1,1
Individuals assigned final or operational responsibilities for the quality management system are not evaluated annually.,Monitoring & Remediation,"To address the risk associated with the fact that those responsible for the quality management system are not evaluated annually, the company has implemented a formal process for evaluating employee performance. This process involves setting clear objectives, periodically assessing progress, and pro",Ref: 8.209999999999996. Objectives: 8q. Responses: MMR-23.,1,1,1,1
The company has not documented its quality management system.,Monitoring & Remediation,"To address the risk related to the lack of documentation of the quality management system, the company has engaged a specialised team to develop and implement clear procedures and policies for documenting all relevant aspects of the system. These documents include quality policies, standard operatin","Ref: 8.219999999999995. Objectives: 8r, 8s, 8t. Responses: MMR-24.",1,1,1,1
The company does not update its documented quality management system.,Monitoring & Remediation,The company has implemented a regular programme for reviewing and updating its documentation. This programme involves designating individuals responsible for monitoring legislative and other relevant changes and for updating the quality management system documents accordingly. Clear deadlines are al,"Ref: 8.229999999999995. Objectives: 8r, 8s, 8t. Responses: MMR-25.",1,1,1,1
"The company does not retain documentation for a sufficient period to monitor the design, implementation, and operation of its quality management system or for a longer period, where required by law or regulations.",Monitoring & Remediation,"To address the risk associated with insufficient documentation retention, the company has implemented several measures. These include reviewing and updating internal policies and procedures for document management and archiving, as well as investing in storage and document management solutions to fa",Ref: 8.239999999999995. Objectives: 8u. Responses: MMR-26.,2,2,2,2
"The risk is acceptable; no response is needed, indicating there is NO reasonable possibility that the risk will manifest and negatively impact the achievement of the quality objective(s).",Monitoring & Remediation,,"Ref: Low
1-2. Objectives: . Responses: .",2,2,1,1
"The risk is potentially unacceptable; employ reasoning to determine if there is a need for a response, suggesting there is a reasonable possibility that the risk will arise and negatively affect the attainment of a quality objective.",Monitoring & Remediation,,"Ref: Medium
3-4. Objectives: . Responses: .",2,2,1,1
"The risk is deemed unacceptable; there is a need for a response, indicating there is a reasonable possibility that the risk will materialise and adversely impact the achievement of a quality objective.",Monitoring & Remediation,,"Ref: High
6-9. Objectives: . Responses: .",2,2,1,1
"Breaches of ethical requirements occur when the company is unaware of the relevant professional provisions applicable to ethical requirements, including those relating to independence.",Relevant Ethical Requirements,"The company has identified, as appropriate, the IESBA Code of Ethics, as adopted by the professional regulatory bodies - the Romanian Chamber of Auditors (CAFR) and the Authority for Public Oversight of Statutory Audit Activity (ASPAAS) - of which the company is a member, as the relevant ethical req","Ref: 3.01. Objectives: 3a, 3c. Responses: MER-01, MER-02, MER-03, MER-04, MER-05,  MER-28.",1,2,1,1
"Breaches of ethical requirements occur when service providers are not aware of the relevant professional provisions applicable to ethical requirements, including those relating to independence.",Relevant Ethical Requirements,"There is a reasonable probability that service providers may not be aware of the relevant professional provisions applicable to ethical requirements, including those related to independence; however, the impact is not significant as decisions about the services provided will be made internally.","Ref: 3.02. Objectives: 3a. Responses: MER-01, MER-04, MER-05, MER-28, MER-09, MER-10.",3,1,1,1
"Breaches of ethical requirements occur when the company personnel do not understand the relevant ethical requirements, including those related to independence.",Relevant Ethical Requirements,"The company communicates independence provisions to its personnel and has designated an authoritative person responsible for managing and monitoring compliance with the relevant ethical provisions, as well as advising on matters related to these provisions. Additionally, the company utilises IT appl","Ref: 3.03. Objectives: 3a, 3c. Responses: MER-07, MER-08, MER-09, MER-10, MER-11.",1,2,1,1
The relevant personnel breaches ethics requirements because the company does not provide them with adequate ethics and independence training.,Relevant Ethical Requirements,"The company has developed annual continuing professional development programmes for both less qualified and qualified personnel, including at least one topic on relevant ethical requirements, such as independence, as regulated by the Code of Ethics and other specific laws and regulations. The course",Ref: 3.04. Objectives: 3a. Responses: MER-08.,1,2,1,1
The audit partner or personnel in management are exposed to familiarity risk because they have been on an assurance engagement for a long period of time or do not meet the rotation requirements.,Relevant Ethical Requirements,"The size, structure, and organisation of the company are typical of a small organisation, with the allocation of responsibilities and roles limited by the available personnel. To mitigate this risk, the company will impose appropriate measures and intends to develop the current organisational struct","Ref: 3.05. Objectives: 3b. Responses: MER-12, MER-13.",3,2,2,2
The company is exposed to a self-review or self-interest threat if it performs a prohibited non-assurance service for an auditee.,Relevant Ethical Requirements,"The company has established and implemented independence policies and procedures requiring persons performing audit or review engagements, team support personnel (technical department), and other staff not to become involved in such engagements (e.g., fees, consulting services). Personnel are instru",Ref: 3.06. Objectives: 3b. Responses: MER-14 MER-15.,3,1,1,1
The company does not initiate or respond in a timely manner to the verification of international relations/internal relations.,Relevant Ethical Requirements,"The company takes action to deal satisfactorily with the consequences of a breach, ensuring that actions are taken as soon as possible to minimise the probability of future breaches of the ethics provisions. The Head of Ethics is a person with authority within the company.",Ref: 3.07. Objectives: 3b. Responses: MER-14.,1,2,1,1
The company provides services not covered by its company authorisation.,Relevant Ethical Requirements,"The company is unlikely to provide services that do not fall within the scope of its authorisation, as all services provided by the company are overseen by the President of the CRMC/Managing Director.","Ref: 3.08. Objectives: 3b. Responses: MER-14, MER-16, MER-17, MER-28.",1,1,1,1
Company personnel are exposed to the threat of self-interest when they accept and report gifts and hospitality from management that exceed acceptable limits.,Relevant Ethical Requirements,"The company has established policies and procedures whereby the Head of Ethics decides that if company personnel receive incentives intended to improperly influence behaviour, the responsibility will be transferred to another individual who is believed to have no reason to be improperly influenced w",Ref: 3.09. Objectives: 3b. Responses: MER-19.,3,1,1,1
The company's personnel are exposed to the threat of self-interest if they accept and fail to report gifts and hospitality from management that exceed acceptable limits.,Relevant Ethical Requirements,"The company has established policies and procedures whereby the Head of Ethics decides that if company personnel receive incentives intended to improperly influence behaviour and do not report it, they are required to reimburse the cost of the incentive.",Ref: 3.1. Objectives: 3b. Responses: MER-19.,3,1,1,1
The company is exposed to a self-interest threat if it continues to audit an entity with long outstanding fees.,Relevant Ethical Requirements,"The company's customer base is large enough to minimise any dependence on a single client. Client fees are generally uniform, ensuring that no single client accounts for a significant percentage of the company's revenue.",Ref: 3.11. Objectives: 3b. Responses: MER-20.,1,1,1,1
The company's personnel have external business roles/activities/interests that pose a threat to the company's independence due to self-interest.,Relevant Ethical Requirements,"The company has implemented a system whereby personnel are required to register all business roles/activities/interests held, including those of relevant family members. Additionally, all clients for whom the company provides services are recorded in this application, along with the nature of the en",Ref: 3.12. Objectives: 3b. Responses: MER-21.,3,1,1,1
"The company's personnel do not notify or seek approval from the company for external roles or activities, or do not reconfirm existing external roles or activities in a timely manner.",Relevant Ethical Requirements,"The company has implemented policies through personnel actions or by refraining from taking actions that would contravene company policies. The procedures incorporate requirements that are aligned with the company's culture, including the treatment of individuals' actions within the company as sanct",Ref: 3.13. Objectives: 3b. Responses: MER-21.,3,1,1,1
The company does not adequately consider potential threats to independence posed by external roles or activities.,Relevant Ethical Requirements,"The company has implemented a system whereby personnel are required to register all financial interests, loans, or guarantees held by them or jointly with relevant family members. Additionally, all clients for whom the company provides services are recorded in this application, including the nature ",Ref: 3.14. Objectives: 3b. Responses: MER-21.,3,1,1,1
The company is not aware of and does not effectively address complaints and allegations against other persons within the company or entities because it does not have a reporting mechanism to facilitate reporting (Link to risks 7.10 / 7.11 / 7.12 in t,Relevant Ethical Requirements,"The company has an appropriate reporting mechanism through established policies and procedures for receiving, investigating, and resolving complaints and allegations of failure to perform activities in accordance with professional standards and applicable legal and regulatory requirements, or non-co","Ref: 3.15. Objectives: 3b. Responses: MER-22, MER-23.",3,1,1,1
"Ethical breaches continue to occur because the company does not have a process in place to record and evaluate breaches of independence, ethical complaints, and allegations.
(Link to risks 7.10 / 7.11 / 7.12 in the Information and Communication secti",Relevant Ethical Requirements,"The company has an appropriate reporting mechanism through established policies and procedures regarding the receipt, investigation, and resolution of complaints and allegations of failure to perform activities in accordance with professional standards and applicable legal and regulatory requirement","Ref: 3.16. Objectives: 3b, 3c. Responses: MER-06, MER-11, MER-22, MER-23, MER-24.",2,1,1,1
Ethical breaches continue to occur because the company does not recommend appropriate measures to address or eliminate threats related to breaches of independence.,Relevant Ethical Requirements,The company has established appropriate actions to be taken in relation to the individual(s) responsible for breaching the company's ethics and independence policies. The Head of Ethics is a person with authority within the company.,"Ref: 3.17. Objectives: 3b, 3c. Responses: MER-18, MER-25.",2,1,1,1
The engagement team does not adequately address the actions recommended by the independence team.,Relevant Ethical Requirements,The monitoring and remediation process is carefully overseen by the Head of Ethics to ensure the company designs and implements a robust and consistent approach to dealing with independence provisions. The consequences of breaches of independence provisions and failure to take recommended actions to,"Ref: 3.18. Objectives: 3b. Responses: MER-02, MER-03, MER-25, MER-26, MER-27.",3,1,1,1
Ethical breaches continue to occur because the company fails to sanction individuals who breach the company's ethics and independence policies.,Relevant Ethical Requirements,The company has established appropriate actions to be taken in relation to the individual(s) responsible for breaching the company's ethics and independence policies. The Head of Ethics is a person with authority within the company.,"Ref: 3.19. Objectives: 3b, 3c. Responses: MER-26.",1,2,1,1
"The risk is acceptable; no response is needed, indicating there is NO reasonable possibility that the risk will manifest and negatively impact the achievement of the quality objective(s).",Relevant Ethical Requirements,,"Ref: Low
1-2. Objectives: . Responses: .",2,2,1,1
"The risk is potentially unacceptable; employ reasoning to determine if there is a need for a response, suggesting there is a reasonable possibility that the risk will arise and negatively affect the attainment of a quality objective.",Relevant Ethical Requirements,,"Ref: Medium
3-4. Objectives: . Responses: .",2,2,1,1
"The risk is deemed unacceptable; there is a need for a response, indicating there is a reasonable possibility that the risk will materialise and adversely impact the achievement of a quality objective.",Relevant Ethical Requirements,,"Ref: High
6-9. Objectives: . Responses: .",2,2,1,1
The potential client or the potential client's management lacks integrity.,Acceptance & Continuance,"The company conducts a rigorous integrity risk analysis, utilising advanced due diligence systems and continuous monitoring measures to ensure that potential threats to client integrity are identified and managed appropriately. Consequently, we consider the risk to be acceptable.","Ref: 4.01. Objectives: 4a. Responses: MAC-01, MAC-06.",1,1,1,1
"The company does not possess sufficient industry experience or technical capability to adequately complete the engagement - the qualifications of the team members do not align with the resource requirements in terms of competency, experience, or seni",Acceptance & Continuance,"Although there is a possibility that resources may not fully meet the competency and experience requirements needed to successfully complete the engagement, we proactively undertake training and development initiatives to ensure the necessary skills and knowledge. Consequently, we consider the risk ",Ref: 4.02. Objectives: 4b. Responses: MAC-07.,1,1,1,1
The company lacks the resources (in terms of quantity or available time) to conduct sufficient procedures to address the risks associated with the engagement.,Acceptance & Continuance,"Although there may be insufficient resources to address the risks associated with the engagement, we employ rigorous planning and efficient allocation of time and resources to maintain an appropriate balance between necessity and availability.","Ref: 4.029999999999999. Objectives: 4a, 4b. Responses: MAC-10.",1,1,1,1
"The company lacks adequate information systems and processes to support the identification and assessment of potential client business and quality risks, or specific engagement risk conditions.",Acceptance & Continuance,"Although there may be inadequate information systems and processes to support the identification and assessment of risks related to potential clients or engagements, we are committed to investing in the technological infrastructure and human resources necessary to address these deficiencies. Consequ",Ref: 4.039999999999999. Objectives: 4a. Responses: MAC-02.,2,1,2,2
"The company does not have access to information, such as communications from the predecessor auditor to the company, or information regarding management personnel, to assess the engagement risk of a potential client.",Acceptance & Continuance,"The company utilises all available resources and actively collaborates with clients and predecessor auditors to obtain the necessary information to properly assess the risks associated with potential client engagements. Consequently, we consider the risk to be acceptable.",Ref: 4.049999999999999. Objectives: 4a. Responses: MAC-06.,1,1,1,1
The company accepts an engagement despite an unacceptably high legal or reputational risk.,Acceptance & Continuance,"The company thoroughly evaluates all aspects of legal or reputational risk before accepting an engagement and implements appropriate risk management measures to ensure compliance and protect reputation. Consequently, we consider the risk to be acceptable.",Ref: 4.059999999999999. Objectives: 4c. Responses: MAC-04.,1,1,1,1
The company accepts an engagement that poses a threat to independence which cannot be adequately safeguarded.,Acceptance & Continuance,"The company strictly adheres to ethical and professional standards and implements independence safeguards, ensuring that all engagements accepted do not compromise professional integrity. Consequently, we consider the risk to be acceptable.","Ref: 4.0699999999999985. Objectives: 4b, 4c. Responses: MAC-05.",1,1,1,1
Unauthorised work is performed before the completion of the necessary client acceptance procedures.,Acceptance & Continuance,"The company has implemented strict controls and procedures to ensure compliance with all requirements before commencing work, thereby preventing unauthorised work. Consequently, we consider the risk to be acceptable.","Ref: 4.079999999999998. Objectives: 4b. Responses: MAC-01, MAC-03, MAC-07.",1,1,1,1
Unauthorised work is performed for an existing client/engagement before the completion of the engagement acceptance procedures.,Acceptance & Continuance,"The company has established clear protocols for the acceptance and commencement of projects, ensuring that all parties involved are fully informed and in agreement, thereby preventing unauthorised work. Consequently, we consider the risk to be acceptable.","Ref: 4.089999999999998. Objectives: 4b. Responses: MAC-01, MAC-03, MAC-07, MAC-09.",1,1,1,1
"There are changes or events that have a negative impact on the client or its integrity after acceptance, which are not identified by the company.",Acceptance & Continuance,"The company implements efficient monitoring and reporting processes to quickly identify and respond appropriately to any changes or events that could impact the integrity and performance of engagements. Consequently, we consider the risk to be acceptable.","Ref: 4.099999999999998. Objectives: 4a, 4b. Responses: MAC-08.",2,1,1,1
The company fails to respond in a timely or appropriate manner to information arising during or subsequent to the audit that could have influenced the company's initial approval of the engagement.,Acceptance & Continuance,"The company maintains an efficient communication flow and clear protocols for the prompt and appropriate handling of any critical information that may arise during or after the audit. Consequently, we consider the risk to be acceptable.",Ref: 4.109999999999998. Objectives: 4c. Responses: MAC-08.,1,1,1,1
The company is unaware of the relevant professional provisions applicable to client acceptance and continuation.,Acceptance & Continuance,"The company conducts training programmes and professional development resources to ensure that all personnel are knowledgeable and up-to-date on all relevant professional provisions applicable to client acceptance and retention. Consequently, we consider the risk to be acceptable.",Ref: 4.119999999999997. Objectives: 4b. Responses: MAC-10.,1,1,1,1
The company does not comply with the relevant professional provisions applicable to the acceptance and retention of clients.,Acceptance & Continuance,"The company utilises constant review and compliance processes to ensure adherence to all regulations and professional standards in all interactions and engagements with clients. Consequently, we consider the risk to be acceptable.","Ref: 4.129999999999997. Objectives: 4b. Responses: MAC-01, MAC-07, MAC-09.",1,1,1,1
"There is information that would have caused the company to refuse or discontinue the engagement, but the company is required by law or regulation to accept a client relationship or a specific engagement.",Acceptance & Continuance,"The company adheres to clear procedures for analysing and evaluating the control environment, implementing documented and monitored long-term measures to manage risks and comply with legislation. It conducts thorough due diligence on each new client, closely collaborates with the legal department fo","Ref: 4.139999999999997. Objectives: 4b. Responses: MAC-11, MAC-12.",2,2,2,2
"The risk is acceptable; no response is needed, indicating there is NO reasonable possibility that the risk will manifest and negatively impact the achievement of the quality objective(s).",Acceptance & Continuance,,"Ref: Low
1-2. Objectives: . Responses: .",2,2,1,1
"The risk is potentially unacceptable; employ reasoning to determine if there is a need for a response, suggesting there is a reasonable possibility that the risk will arise and negatively affect the attainment of a quality objective.",Acceptance & Continuance,,"Ref: Medium
3-4. Objectives: . Responses: .",2,2,1,1
"The risk is deemed unacceptable; there is a need for a response, indicating there is a reasonable possibility that the risk will materialise and adversely impact the achievement of a quality objective.",Acceptance & Continuance,,"Ref: High
6-9. Objectives: . Responses: .",2,2,1,1
